NAME                                                            CPU(cores)   MEMORY(bytes)   
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-8h7hh                45m          2492Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-dg69q                44m          2491Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-drlr5                47m          2489Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-gb8sq                59m          2461Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-hxv74                46m          2489Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-j4qm7                38m          2492Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-jklgw                49m          2485Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-kxj8w                45m          2518Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-mtmwj                51m          2483Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-mzwhs                36m          2504Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-pz8gr                35m          2494Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-qlqhs                40m          2492Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-s99cn                43m          2491Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-t5grj                46m          2487Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-v9hnr                38m          2501Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-vsjfs                37m          2479Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-wwlzz                47m          2477Mi          
emss-pdc-oracle-data-group-1-v19-c58b6bfbf-xjtwh                46m          2492Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-4jmbb              322m         5603Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-5mkc6              302m         5615Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-6srqb              385m         5708Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-7fv7b              294m         5588Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-cv56p              365m         5602Mi          
