NAME                                                             CPU(cores)   MEMORY(bytes)   
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-v6lvf              56m          4304Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-w2kr7              105m         3742Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-wflxp              119m         4204Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-whzmp              51m          4192Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-wzxwx              128m         4214Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-xgjkt              148m         3647Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-z96kq              109m         4204Mi          
emss-mac-eca-subdomain-group-1-v12-86c58d7d96-zdl6w              148m         3742Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-22jvn                70m          5238Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-2llzr                67m          7007Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-4czrg                70m          7089Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-4p69w                76m          7022Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-4spjq                72m          7120Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-5668r                76m          7115Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-6n9g7                76m          7028Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-6spcn                75m          5404Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-7t24m                68m          7075Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-8fmjw                75m          7009Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-8k5jh                83m          5482Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-92zg2                73m          6767Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-9p5jk                67m          4690Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-c4khq                65m          7100Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-d8q8t                68m          6353Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-d9bzm                71m          4986Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-f5gdr                71m          5326Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-gzsgp                65m          6988Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-hd6gm                71m          7032Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-hvksz                66m          4497Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-j4vvc                70m          5135Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-jmjk6                64m          5526Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-k525b                142m         7018Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-k6fqx                70m          5261Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-kbn6f                74m          6892Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-l75ll                70m          4253Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-lcq8v                67m          4997Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-mwcjq                68m          7073Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-qtzkj                73m          7086Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-qvptj                86m          5581Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-sjn2f                70m          7081Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-tdlvx                69m          6815Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-trmjv                68m          7092Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-v5pk9                77m          7041Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-wrrbd                191m         6935Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-x2pnz                82m          4786Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-z5f4z                65m          7087Mi          
emss-mac-oracle-data-group-1-v14-7d47c9d444-zbjlf                76m          7070Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-276mn                   110m         6042Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-2hv9b                   112m         7618Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-2vdzz                   109m         6553Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-6th74                   76m          5197Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-86hxk                   60m          6046Mi          
