NAME                                                          CPU(cores)   MEMORY(bytes)   
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-qq89m          31m          1288Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-rr2f2          32m          1319Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-w4lfx          33m          1295Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-x9f6t          30m          1249Mi          
emss-mac-reissue-subdomain-group-1-v6-6dcf5958bd-g5v66        34m          1910Mi          
emss-mac-reissue-subdomain-group-1-v6-6dcf5958bd-lcpvl        30m          2016Mi          
emss-mac-reissue-subdomain-group-1-v6-6dcf5958bd-nb5z7        68m          1958Mi          
emss-mac-reissue-subdomain-group-1-v6-6dcf5958bd-pmq2k        30m          1951Mi          
emss-mac-reissue-subdomain-group-1-v6-6dcf5958bd-qx9s7        32m          2007Mi          
emss-mac-reissue-subdomain-group-1-v6-6dcf5958bd-r2wbv        41m          1937Mi          
emss-scp-annunciator-subdomain-group-1-v6-5758876b74-56fs6    20m          2199Mi          
emss-scp-annunciator-subdomain-group-1-v6-5758876b74-6bv25    23m          2213Mi          
emss-scp-annunciator-subdomain-group-1-v6-5758876b74-9fdbv    21m          2303Mi          
emss-scp-annunciator-subdomain-group-1-v6-5758876b74-d78fr    24m          2265Mi          
emss-scp-annunciator-subdomain-group-1-v6-5758876b74-l8496    20m          2299Mi          
emss-scp-annunciator-subdomain-group-1-v6-5758876b74-mdtfp    22m          2330Mi          
emss-scp-annunciator-subdomain-group-1-v6-5758876b74-n4d2p    45m          2221Mi          
emss-scp-annunciator-subdomain-group-1-v6-5758876b74-pvxpn    21m          2287Mi          
emss-scp-annunciator-subdomain-group-1-v6-5758876b74-v94rk    27m          2292Mi          
emss-scp-annunciator-subdomain-group-1-v6-5758876b74-z5qfq    22m          2231Mi          
emss-scp-guide-gtw-group-1-v3-79557f78dc-7pwwq                64m          2533Mi          
emss-scp-guide-gtw-group-1-v3-79557f78dc-ptq87                80m          2539Mi          
emss-sta-interact-front-group-1-v13-58dddf5c87-6cdcp          23m          2444Mi          
emss-sta-interact-front-group-1-v13-58dddf5c87-fbt2d          21m          2453Mi          
emss-sta-interact-front-group-1-v13-58dddf5c87-j6s8w          24m          2457Mi          
emss-sta-interact-front-group-1-v13-58dddf5c87-rf7mx          20m          2449Mi          
emss-sta-interact-front-group-1-v13-58dddf5c87-tlvt5          27m          2436Mi          
emss-sta-interact-front-group-1-v13-58dddf5c87-w6d72          23m          2465Mi          
emss-sta-query-front-group-1-v12-7548c7897-2smp9              23m          2515Mi          
emss-sta-query-front-group-1-v12-7548c7897-5knnk              50m          2435Mi          
emss-sta-query-front-group-1-v12-7548c7897-8jgr4              23m          2517Mi          
emss-sta-query-front-group-1-v12-7548c7897-vtqxn              45m          2468Mi          
emss-sta-support-front-group-1-v19-5c86986cb7-566bx           16m          2526Mi          
emss-sta-support-front-group-1-v19-5c86986cb7-5xwts           16m          2557Mi          
emss-sta-support-front-group-1-v19-5c86986cb7-72rm4           24m          2582Mi          
emss-sta-support-front-group-1-v19-5c86986cb7-78d9c           15m          2525Mi          
emss-sta-support-front-group-1-v19-5c86986cb7-9dgh6           16m          2520Mi          
emss-sta-support-front-group-1-v19-5c86986cb7-9sz5x           16m          2580Mi          
emss-sta-support-front-group-1-v19-5c86986cb7-dslxm           14m          2487Mi          
emss-sta-support-front-group-1-v19-5c86986cb7-hmv6j           17m          2560Mi          
emss-sta-support-front-group-1-v19-5c86986cb7-ltdhv           17m          2585Mi          
emss-sta-support-front-group-1-v19-5c86986cb7-mfnql           19m          2569Mi          
emss-sta-support-front-group-1-v19-5c86986cb7-nh4xk           17m          2535Mi          
emss-sta-support-front-group-1-v19-5c86986cb7-qffc5           15m          2546Mi          
emss-sta-support-front-group-1-v19-5c86986cb7-wzvdx           29m          2543Mi          
emss-sta-workorder-front-group-1-v21-6958c48449-5rjmg         24m          3127Mi          
emss-sta-workorder-front-group-1-v21-6958c48449-79q8b         22m          3151Mi          
emss-sta-workorder-front-group-1-v21-6958c48449-7dffr         20m          3138Mi          
emss-sta-workorder-front-group-1-v21-6958c48449-9497j         18m          3154Mi          
emss-sta-workorder-front-group-1-v21-6958c48449-bcqv2         23m          3131Mi          
emss-sta-workorder-front-group-1-v21-6958c48449-hrhqz         20m          3131Mi          
emss-sta-workorder-front-group-1-v21-6958c48449-jrc5z         19m          3120Mi          
emss-sta-workorder-front-group-1-v21-6958c48449-qlxnx         23m          3127Mi          
emss-sta-workorder-front-group-1-v21-6958c48449-rs522         18m          3130Mi          
emss-sta-workorder-front-group-1-v21-6958c48449-tmx4r         22m          3171Mi          
emss-sta-workorder-front-group-1-v21-6958c48449-vrx6q         21m          3134Mi          
emss-sta-workorder-front-group-1-v21-6958c48449-w9p25         21m          3142Mi          
emss-sta-workorder-front-group-1-v21-6958c48449-xbflb         26m          3124Mi          
osg-oauth20001-group-1-v9-7c6c44589f-2859j                    132m         6653Mi          
osg-oauth20001-group-1-v9-7c6c44589f-2bdtt                    132m         6655Mi          
osg-oauth20001-group-1-v9-7c6c44589f-2d5nj                    159m         6776Mi          
osg-oauth20001-group-1-v9-7c6c44589f-2h5sf                    136m         6677Mi          
osg-oauth20001-group-1-v9-7c6c44589f-49wr9                    141m         6672Mi          
osg-oauth20001-group-1-v9-7c6c44589f-5rltf                    166m         6672Mi          
osg-oauth20001-group-1-v9-7c6c44589f-67bh7                    122m         6690Mi          
osg-oauth20001-group-1-v9-7c6c44589f-75fqf                    150m         6748Mi          
osg-oauth20001-group-1-v9-7c6c44589f-7p7xw                    128m         6665Mi          
osg-oauth20001-group-1-v9-7c6c44589f-87crr                    135m         6672Mi          
osg-oauth20001-group-1-v9-7c6c44589f-9pkb4                    139m         6667Mi          
osg-oauth20001-group-1-v9-7c6c44589f-9txf5                    139m         6663Mi          
osg-oauth20001-group-1-v9-7c6c44589f-9vsfm                    133m         6704Mi          
osg-oauth20001-group-1-v9-7c6c44589f-bfxcj                    127m         6660Mi          
osg-oauth20001-group-1-v9-7c6c44589f-bqxlj                    120m         6725Mi          
osg-oauth20001-group-1-v9-7c6c44589f-cbs4x                    280m         6764Mi          
osg-oauth20001-group-1-v9-7c6c44589f-cxr4l                    129m         6678Mi          
osg-oauth20001-group-1-v9-7c6c44589f-dj9t5                    123m         6686Mi          
osg-oauth20001-group-1-v9-7c6c44589f-dlfmh                    133m         6741Mi          
osg-oauth20001-group-1-v9-7c6c44589f-dqmh5                    154m         6748Mi          
osg-oauth20001-group-1-v9-7c6c44589f-gkxms                    135m         6663Mi          
osg-oauth20001-group-1-v9-7c6c44589f-hbdtd                    133m         6685Mi          
osg-oauth20001-group-1-v9-7c6c44589f-k5686                    131m         6674Mi          
osg-oauth20001-group-1-v9-7c6c44589f-l4psz                    147m         6759Mi          
osg-oauth20001-group-1-v9-7c6c44589f-l5l8t                    134m         6696Mi          
osg-oauth20001-group-1-v9-7c6c44589f-l6k9t                    163m         6777Mi          
osg-oauth20001-group-1-v9-7c6c44589f-mb788                    124m         6696Mi          
osg-oauth20001-group-1-v9-7c6c44589f-mbbsg                    262m         6740Mi          
osg-oauth20001-group-1-v9-7c6c44589f-mjbt6                    123m         6705Mi          
osg-oauth20001-group-1-v9-7c6c44589f-mphvt                    138m         6805Mi          
osg-oauth20001-group-1-v9-7c6c44589f-mr9fk                    124m         6691Mi          
osg-oauth20001-group-1-v9-7c6c44589f-mvzj7                    126m         6685Mi          
osg-oauth20001-group-1-v9-7c6c44589f-ngw8z                    130m         6669Mi          
osg-oauth20001-group-1-v9-7c6c44589f-nssz6                    137m         6792Mi          
osg-oauth20001-group-1-v9-7c6c44589f-ntbjt                    140m         6701Mi          
osg-oauth20001-group-1-v9-7c6c44589f-ptrv6                    132m         6698Mi          
osg-oauth20001-group-1-v9-7c6c44589f-pv6vs                    136m         6651Mi          
osg-oauth20001-group-1-v9-7c6c44589f-qmk9c                    157m         6688Mi          
osg-oauth20001-group-1-v9-7c6c44589f-rh8np                    145m         6687Mi          
osg-oauth20001-group-1-v9-7c6c44589f-sbxww                    134m         6698Mi          
osg-oauth20001-group-1-v9-7c6c44589f-sm294                    132m         6665Mi          
osg-oauth20001-group-1-v9-7c6c44589f-tbjjx                    143m         6674Mi          
osg-oauth20001-group-1-v9-7c6c44589f-wdc7g                    140m         6678Mi          
osg-oauth20001-group-1-v9-7c6c44589f-z78kw                    126m         6681Mi          
osg-oauth20001-group-1-v9-7c6c44589f-z8vbf                    132m         6670Mi          
osg-oauth20001-group-1-v9-7c6c44589f-z9xjl                    136m         6652Mi          
osg-open-bc0001-group-1-v6-fd758f59-2mmbt                     92m          3432Mi          
osg-open-bc0001-group-1-v6-fd758f59-48bvn                     71m          3439Mi          
