NAME                                                             CPU(cores)   MEMORY(bytes)   
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-dbwgl                118m         5839Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-gpdbd                147m         5862Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-khs26                151m         5756Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-mk2vk                195m         6016Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-mz29l                192m         5749Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-n67cc                227m         5811Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-rc9nz                172m         5772Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-rrsbd                128m         5740Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-rwbv7                124m         5728Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-s4c26                113m         5754Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-s72nn                147m         5639Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-sl676                185m         5732Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-tqjvx                114m         5766Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-wkdkp                126m         5852Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-xpft9                116m         5726Mi          
emss-bcp-envcross-utw-group-1-v8-84db5d7c59-zpd69                199m         5746Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-2tt9p                611m         6390Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-2z62j                551m         6397Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-5tj66                706m         6354Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-62f46                676m         6485Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-66dnz                748m         6454Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-6976m                573m         6384Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-72sl7                532m         6370Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-7pc5w                673m         6371Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-c8sgc                690m         6487Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-chc8w                687m         6435Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-cjn8d                889m         6384Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-cm9x4                655m         6383Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-dzqpq                586m         6393Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-dzvtb                564m         6421Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-f68fw                721m         6415Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-fch2t                664m         6349Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-fr8cg                471m         6400Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-gr62m                758m         6434Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-hdlxf                474m         6375Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-hq6fh                601m         6413Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-hvq8g                662m         6358Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-j2b8f                764m         6423Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-llhlk                796m         6367Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-rwxwv                666m         6396Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-s89xz                891m         6392Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-vb75c                638m         6393Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-vmzwx                613m         6365Mi          
emss-bcp-envcross-wtw-group-1-v8-5978b77bbd-xgbw6                708m         6413Mi          
emss-bea-bus-front-group-1-v16-6589bc4b5d-6tth4                  104m         3855Mi          
emss-bea-bus-front-group-1-v16-6589bc4b5d-cht2x                  128m         3842Mi          
emss-bea-bus-front-group-1-v16-6589bc4b5d-djr9t                  114m         3859Mi          
emss-bea-bus-front-group-1-v16-6589bc4b5d-h4cb4                  110m         3778Mi          
emss-bea-bus-front-group-1-v16-6589bc4b5d-hkwrf                  79m          3854Mi          
emss-bea-bus-front-group-1-v16-6589bc4b5d-j5c6c                  96m          3870Mi          
emss-bea-bus-front-group-1-v16-6589bc4b5d-j5mpc                  135m         3880Mi          
emss-bea-bus-front-group-1-v16-6589bc4b5d-jx6zt                  105m         3889Mi          
emss-bea-bus-front-group-1-v16-6589bc4b5d-nwzkb                  84m          3854Mi          
emss-bea-bus-front-group-1-v16-6589bc4b5d-p97nb                  103m         3744Mi          
emss-bea-bus-front-group-1-v16-6589bc4b5d-pxknt                  99m          3817Mi          
emss-bea-bus-front-group-1-v16-6589bc4b5d-rcqt6                  98m          3807Mi          
emss-bea-bus-front-group-1-v16-6589bc4b5d-tjldt                  83m          3857Mi          
emss-bea-bus-front-group-1-v16-6589bc4b5d-vvtv9                  122m         3865Mi          
emss-bea-bus-front-group-1-v16-6589bc4b5d-vvxbh                  109m         3837Mi          
emss-bea-bus-front-group-1-v16-6589bc4b5d-x6dwh                  98m          3789Mi          
emss-bea-loadaccess-front-group-1-v4-5c4779d7cb-98pkv            45m          2372Mi          
emss-bea-loadaccess-front-group-1-v4-5c4779d7cb-nfb26            44m          2378Mi          
emss-bea-newbusi-front-group-1-v11-8dc666cc5-c9hlm               44m          3080Mi          
emss-bea-newbusi-front-group-1-v11-8dc666cc5-gh8nh               32m          3084Mi          
emss-bea-newbusi-front-group-1-v11-8dc666cc5-kfg9z               53m          3014Mi          
emss-bea-newbusi-front-group-1-v11-8dc666cc5-l6l2b               44m          2997Mi          
emss-bea-newbusi-front-group-1-v11-8dc666cc5-r7xx7               47m          3001Mi          
emss-bea-newbusi-front-group-1-v11-8dc666cc5-zfbzr               35m          3035Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-2d5lp                  165m         7025Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-2k6hz                  202m         6948Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-4bn4t                  162m         7264Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-4d8tw                  172m         6988Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-4f54j                  157m         7089Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-4ml2b                  157m         6947Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-4pshq                  137m         7104Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-4t7lb                  165m         7009Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-54zmq                  191m         7081Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-5jtrc                  165m         7129Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-5jtwn                  143m         7114Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-5xrh8                  158m         7014Mi          
