NAME                                                          CPU(cores)   MEMORY(bytes)   
emss-coc-drds-data-group-1-v23-fdf684df4-vgj6b                386m         6029Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-vr8bs                359m         7068Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-whpbl                380m         6690Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-wtf2l                366m         7446Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-x2ksq                389m         5584Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-xskt5                380m         5541Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-xz92d                405m         5575Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-z298d                397m         5609Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-zm47l                292m         5290Mi          
emss-coc-drds-data-group-1-v23-fdf684df4-zv5bw                387m         5591Mi          
emss-coc-intranet-subdomain-group-1-v7-6669987565-7q2sx       61m          1569Mi          
emss-coc-intranet-subdomain-group-1-v7-6669987565-fqpgc       56m          1558Mi          
emss-coc-intranet-subdomain-group-1-v7-6669987565-lhbxc       53m          1549Mi          
emss-coc-intranet-subdomain-group-1-v7-6669987565-pjgcr       66m          1541Mi          
emss-coc-intranet-subdomain-group-1-v7-6669987565-qxmj7       71m          1529Mi          
emss-coc-intranet-subdomain-group-1-v7-6669987565-z96cv       65m          1529Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-4nfvz     67m          2421Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-bdhvb     63m          2462Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-bgkqs     65m          2381Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-cxtfj     58m          2483Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-czkmz     63m          2401Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-g2gnp     59m          2473Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-jg2lt     59m          2408Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-k86l4     68m          2460Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-l2kcd     56m          2404Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-mwk9w     64m          2451Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-p6tjv     58m          2488Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-pgk8n     57m          2430Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-q9z84     42m          2465Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-r2wtv     58m          2418Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-vpx62     71m          2377Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-wvs2n     59m          2437Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-xm29v     59m          2383Mi          
emss-coc-membership-subdomain-group-1-v6-77f76f66c8-zphcv     35m          2488Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-28khc               68m          2003Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-5bfcl               61m          1877Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-74l6x               70m          1999Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-9cjxw               78m          1856Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-9mdt5               65m          1773Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-bwdb5               72m          1900Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-c77rj               67m          1963Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-dfw2d               60m          1893Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-dhxpf               74m          1969Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-f7r7m               59m          1937Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-gp44t               70m          1929Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-lv5b8               61m          1697Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-n5mdx               74m          1625Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-pc6qm               67m          1872Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-prwvt               57m          2006Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-rccl5               69m          1838Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-rgrvh               66m          1987Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-sqdbk               71m          1792Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-sqfx6               67m          1902Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-ttjzh               58m          1902Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-tvxlv               62m          1933Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-v8786               49m          1978Mi          
emss-coc-oracle-data-group-1-v9-d5669bf4b-zkf5x               69m          1935Mi          
emss-coc-sync-data-group-1-v20-7fcf54c5ff-h9qd8               2017m        2600Mi          
emss-coc-sync-data-group-1-v20-7fcf54c5ff-m5xrj               2003m        2496Mi          
emss-coc-sync-data-group-1-v20-7fcf54c5ff-mm2jk               1998m        2286Mi          
emss-coc-sync-data-group-1-v20-7fcf54c5ff-rmczz               2006m        2715Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-4t46w      109m         4258Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-59xxw      95m          4179Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-6jrd6      111m         4313Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-7xtqh      96m          4164Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-8l65j      97m          4144Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-8s6lk      86m          4166Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-b8lpf      116m         3930Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-c45k9      112m         3478Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-cfvh5      101m         4133Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-d6vwv      117m         4091Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-d94tb      92m          4149Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-ffn7f      94m          4153Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-gwv2q      101m         4136Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-kzbq6      88m          4137Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-nhftj      106m         4170Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-nrwsl      101m         4126Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-r2mdd      88m          4236Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-sftc9      101m         4011Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-vqc9j      107m         3495Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-wzm7b      120m         4241Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-xvgdb      95m          4168Mi          
emss-coc-userinfo-subdomain-group-1-v20-66749cfbb8-z8v9l      122m         4169Mi          
emss-csa-scenework-front-group-1-v9-8577bd458d-2jjdb          75m          1519Mi          
emss-csa-scenework-front-group-1-v9-8577bd458d-75kdz          59m          1570Mi          
emss-csa-scenework-front-group-1-v9-8577bd458d-8brlx          64m          1558Mi          
emss-csa-scenework-front-group-1-v9-8577bd458d-fbnws          68m          1509Mi          
emss-csa-scenework-front-group-1-v9-8577bd458d-n2rg7          64m          1561Mi          
emss-csa-scenework-front-group-1-v9-8577bd458d-p8mb5          61m          1564Mi          
emss-cuc-channel-front-group-1-v3-5c896cbc57-4kfcv            36m          2404Mi          
