NAME                                                              CPU(cores)   MEMORY(bytes)   
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-vrfvm            46m          3384Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-wmwzg            36m          3391Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-xztvp            74m          3387Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-zdrlw            36m          3389Mi          
emss-bic-oracle-inner-data-group-1-v8-5dcdbfd579-zq4cl            47m          3393Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f445t288   48m          3446Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f4479g4w   58m          3447Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f448m9pb   20m          3450Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f448scgf   45m          3444Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f448tlbw   32m          3450Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f449fmk7   48m          3445Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f449hrqs   28m          3469Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f449nw4b   26m          3465Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44bhvgs   52m          3433Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44cr8tl   21m          3463Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44cv2dw   47m          3450Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44d5pdn   29m          3469Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44f6v7p   44m          3470Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44f96jr   21m          3470Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44h9m9p   36m          3449Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44hdftg   41m          3448Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44hlblp   35m          3466Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44k4xkx   18m          3473Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44kc8lj   22m          3469Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44lgvf7   24m          3460Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44lxf9k   53m          3439Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44mlk4d   21m          3455Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44mmhk6   30m          3466Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44nmlxn   27m          3467Mi          
