NAME                                                              CPU(cores)   MEMORY(bytes)   
emss-scp-annunciator-subdomain-group-1-v6-5b8576b59c-znt49        17m          1328Mi          
emss-scp-inward-inner-listener1-group-1-v7-695568c768-89n8k       39m          6564Mi          
emss-scp-inward-inner-listener1-group-1-v7-695568c768-jcpwj       209m         7124Mi          
emss-scp-inward-inner-listener1-group-1-v7-695568c768-nwqqg       229m         7102Mi          
emss-scp-inward-inner-listener1-group-1-v7-695568c768-pz5p9       11m          6148Mi          
emss-scp-inward-inner-listener1-group-1-v7-695568c768-t9tqf       403m         7103Mi          
emss-scp-inward-inner-listener1-group-1-v7-695568c768-zwn5c       11m          6097Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-2rp5q                  100m         7333Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-42vxt                  104m         7183Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-4sh4l                  156m         7132Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-4svps                  173m         7376Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-4w64q                  100m         7076Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-55q6j                  88m          7152Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-5zclx                  99m          7089Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-65qfp                  180m         7142Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-668hc                  115m         7131Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-6th2k                  154m         7115Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-6zpn9                  93m          7157Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-75qnd                  97m          7170Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-76pcf                  118m         7154Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-7rr5g                  95m          7151Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-7vxkz                  93m          7125Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-82d5t                  87m          7128Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-8gjfk                  95m          7126Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-8phwm                  111m         7289Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-8rnlj                  157m         7408Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-8x8sw                  126m         7151Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-92gtc                  104m         7152Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-95t7z                  83m          7145Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-9f9tl                  89m          7203Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-9tlw4                  107m         7086Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-bhqmv                  110m         7152Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-blbzq                  123m         7178Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-bt8sh                  99m          7134Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-chqmm                  95m          7033Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-cn97c                  120m         7316Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-cqk7x                  179m         7373Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-cs4rd                  98m          7215Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-fck87                  117m         7113Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-ghqq5                  117m         7119Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-gtxf9                  95m          7216Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-h99n4                  198m         7386Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-hhnwj                  95m          7110Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-hs4qb                  85m          7172Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-hss84                  185m         7150Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-jbftn                  183m         7363Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-kn2fz                  100m         7264Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-kr2qs                  106m         7178Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-lc2hh                  163m         7146Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-lml2k                  121m         7056Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-mbbgf                  112m         7140Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-ml7gj                  132m         7168Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-nbbcv                  104m         7120Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-ppnh8                  151m         7345Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-psg4d                  183m         7293Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-qhgs4                  209m         7168Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-qk8zh                  104m         7168Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-qqpbg                  174m         7365Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-r4856                  113m         7347Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-rk7fq                  165m         7124Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-rv8hd                  174m         7350Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-s4qlb                  85m          7140Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-sftjs                  157m         7127Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-sw78v                  105m         7168Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-t2cbn                  87m          7184Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-tpw2c                  102m         7134Mi          
